club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
6996,goverla-uzhgorod,Goverla Uzhgorod,UKR1,,0,0.0,0,,0,Avangard,10640,+-0,Vyacheslav Groznyi,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya Bis 2016 ,UKR1,,0,0.0,0,,0,ZAZ Stadion,15000,+-0,Anatoliy Chantsev,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,23.0,5,26.3,3,60.0,1,Stadio Komotinis OPAP,5601,+-0,José Manuel Roca,https://www.transfermarkt.co.uk/panthrakikos-komotini/startseite/verein/7185
3216,mersin-idmanyurdu,Mersin Idmanyurdu,TR1,,0,0.0,0,,0,Mersin Stadyumu,25497,+-0,Mesut Bakkal,https://www.transfermarkt.co.uk/mersin-idmanyurdu/startseite/verein/3216
28956,ael-kalloni,Ael Kalloni,GR1,,0,0.0,0,,0,Stadio Mytilinis,4000,+-0,Thalis Theodoridis,https://www.transfermarkt.co.uk/ael-kalloni/startseite/verein/28956
4102,carpi-fc-1909,Carpi Fc 1909,IT1,,0,0.0,0,,0,Sandro Cabassi,5510,+£540Th.,Fabrizio Castori,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
825,eskisehirspor,Eskisehirspor,TR1,1.55,23,23.2,2,8.7,0,Eskişehir Yeni Stadyum,34930,+£15Th.,Ilhan Mayakan,https://www.transfermarkt.co.uk/eskisehirspor/startseite/verein/825
6414,metalist-kharkiv,Metalist Kharkiv,UKR1,,0,0.0,0,,0,OSK Metalist,38685,+-0,Oleksandr Sevidov,https://www.transfermarkt.co.uk/metalist-kharkiv/startseite/verein/6414
3558,gfc-ajaccio,Gfc Ajaccio,FR1,450.0,9,26.6,0,,0,Stade Ange-Casanova,4050,+-0,Thierry Laurey,https://www.transfermarkt.co.uk/gfc-ajaccio/startseite/verein/3558
11126,mordovia-saransk,Mordovia Saransk,RU1,,0,0.0,0,,0,Mordovia Arena,44442,+-0,Andrey Gordeev,https://www.transfermarkt.co.uk/mordovia-saransk/startseite/verein/11126
2439,kuban-krasnodar,Kuban Krasnodar,RU1,,0,0.0,0,,0,Kuban Stadium,31654,+-0,Dmitri Khokhlov,https://www.transfermarkt.co.uk/kuban-krasnodar/startseite/verein/2439
2990,academica-coimbra,Academica Coimbra,PO1,3.49,29,25.7,12,41.4,3,Estádio Cidade de Coimbra,29744,+-0,José Viterbo,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
976,cf-uniao-madeira,Cf Uniao Madeira,PO1,,5,21.2,2,40.0,0,Centro Desportivo da Madeira,2500,+-0,Luís Norton de Matos,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
641,fc-middlesbrough,Fc Middlesbrough,GB1,36.36,24,25.9,5,20.8,1,Riverside Stadium,33746,£-783Th.,Aitor Karanka,https://www.transfermarkt.co.uk/fc-middlesbrough/startseite/verein/641
3008,hull-city,Hull City,GB1,9.5,25,24.5,8,32.0,1,KCOM Stadium,24983,+-0,Steve Bruce,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
289,afc-sunderland,Afc Sunderland,GB1,8.01,20,26.1,11,55.0,2,Stadium of Light,48707,+-0,Sam Allardyce,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289
3691,tom-tomsk,Tom Tomsk,RU1,4.37,24,24.7,1,4.2,0,Trud,10028,£-31Th.,Valeri Petrakov,https://www.transfermarkt.co.uk/tom-tomsk/startseite/verein/3691
4482,volyn-lutsk,Volyn Lutsk,UKR1,788.0,21,21.3,0,,0,Stadion Avangard,12080,+-0,Vitaliy Kvartsyanyi,https://www.transfermarkt.co.uk/volyn-lutsk/startseite/verein/4482
339,dnipro-dnipropetrovsk,Dnipro Dnipropetrovsk,UKR1,,0,0.0,0,,0,Meteor,24381,+-0,Dmytro Mykhaylenko,https://www.transfermarkt.co.uk/dnipro-dnipropetrovsk/startseite/verein/339
1159,as-nancy-lorraine,As Nancy Lorraine,FR1,9.63,19,24.8,8,42.1,1,Stade Marcel-Picot,20087,+-0,Pablo Correa,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
2448,sporting-gijon,Sporting Gijon,ES1,16.74,21,25.5,5,23.8,2,El Molinón - Enrique Castro Quini,30000,+-0,Abelardo,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
595,sc-bastia,Sc Bastia,FR1,6.44,23,28.5,4,17.4,2,Stade Armand-Cesari,16480,+-0,François Ciccolini,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
968,kvc-westerlo,Kvc Westerlo,BE1,6.35,26,25.0,14,53.8,2,Het Kuipje,8035,+-0,Bob Peeters,https://www.transfermarkt.co.uk/kvc-westerlo/startseite/verein/968
105,sv-darmstadt-98,Sv Darmstadt 98,L1,11.86,27,24.7,5,18.5,0,Merck-Stadion am Böllenfalltor,17400,+£450Th.,Norbert Meier,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
4795,fc-ingolstadt-04,Fc Ingolstadt 04,L1,7.04,28,25.0,8,28.6,1,Audi Sportpark,15800,+-0,Markus Kauczinski,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
6,adanaspor,Adanaspor,TR1,4.05,34,25.0,10,29.4,1,Yeni Adana Stadyumu,33000,+-0,Engin Ipekoglu,https://www.transfermarkt.co.uk/adanaspor/startseite/verein/6
524,gaziantepspor,Gaziantepspor,TR1,,0,0.0,0,,0,Gaziantep Stadyumu,33502,+-0,Ismail Kartal,https://www.transfermarkt.co.uk/gaziantepspor/startseite/verein/524
47,iraklis-thessaloniki,Iraklis Thessaloniki,GR1,1.26,22,29.0,1,4.5,0,Kaftanzoglio Stadio,27770,+-0,Nikolaos Papadopoulos,https://www.transfermarkt.co.uk/iraklis-thessaloniki/startseite/verein/47
2079,veria-nps,Veria Nps,GR1,2.72,18,26.6,0,,0,Dimotiko Stadio Verias,6350,+-0,Dimitrios Eleftheropoulos,https://www.transfermarkt.co.uk/veria-nps/startseite/verein/2079
458,palermo-fc,Palermo Fc,IT1,4.86,24,26.9,5,20.8,0,"Comunale Renzo Barbera ""La Favorita""",36365,+£1.89m,Davide Ballardini,https://www.transfermarkt.co.uk/palermo-fc/startseite/verein/458
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,6.39,30,24.0,11,36.7,1,Adriatico,20476,+£2.48m,Massimo Oddo,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921
2451,inverness-caledonian-thistle-fc,Inverness Caledonian Thistle Fc,SC1,4.73,22,25.7,5,22.7,0,Tulloch Caledonian Stadium,7750,+£209Th.,Richie Foran,https://www.transfermarkt.co.uk/inverness-caledonian-thistle-fc/startseite/verein/2451
40426,fk-tosno,Fk Tosno,RU1,,0,0.0,0,,0,Petrovsky,20985,+-0,Dmitri Parfenov,https://www.transfermarkt.co.uk/fk-tosno/startseite/verein/40426
4128,amkar-perm,Amkar Perm,RU1,3.49,22,25.3,0,,0,Zvezda,17000,+-0,Gadzhi Gadzhiev,https://www.transfermarkt.co.uk/amkar-perm/startseite/verein/4128
3690,ska-khabarovsk,Ska Khabarovsk,RU1,5.85,29,25.2,5,17.2,1,Lenin Stadion,15200,+£26Th.,Aleksey Poddubskiy,https://www.transfermarkt.co.uk/ska-khabarovsk/startseite/verein/3690
2288,swansea-city,Swansea City,GB1,33.53,27,25.1,20,74.1,5,Liberty Stadium,21088,£-1.80m,Paul Clement,https://www.transfermarkt.co.uk/swansea-city/startseite/verein/2288
512,stoke-city,Stoke City,GB1,39.33,24,27.5,11,45.8,5,bet365 Stadium,30089,+£11.03m,Mark Hughes,https://www.transfermarkt.co.uk/stoke-city/startseite/verein/512
1084,fc-malaga,Fc Malaga,ES1,12.87,24,25.3,5,20.8,1,La Rosaleda,30044,+-0,Míchel,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
897,deportivo-la-coruna,Deportivo La Coruna,ES1,9.95,24,28.0,7,29.2,1,Riazor,32912,+£1.53m,Pepe Mel,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
472,ud-las-palmas,Ud Las Palmas,ES1,12.42,24,26.2,3,12.5,1,Estadio de Gran Canaria,32392,+£1.30m,Manolo Márquez,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
192,roda-jc-kerkrade,Roda Jc Kerkrade,NL1,4.05,16,24.9,6,37.5,0,Parkstad Limburg Stadion,19979,+-0,Robert Molenaar,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
41,hamburger-sv,Hamburger Sv,L1,34.67,28,24.9,9,32.1,1,Volksparkstadion,57000,£-1.08m,Markus Gisdol,https://www.transfermarkt.co.uk/hamburger-sv/startseite/verein/41
16247,pfk-stal-kamyanske,Pfk Stal Kamyanske,UKR1,,0,0.0,0,,0,Obolon,5100,+-0,Eghishe Melikyan,https://www.transfermarkt.co.uk/pfk-stal-kamyanske/startseite/verein/16247
8838,zirka-kropyvnytskyi,Zirka Kropyvnytskyi,UKR1,,0,0.0,0,,0,Zirka,14628,+-0,Roman Monarev,https://www.transfermarkt.co.uk/zirka-kropyvnytskyi/startseite/verein/8838
21957,ao-platanias,Ao Platanias,GR1,225.0,9,25.1,2,22.2,0,Dimotiko Gipedo Perivolia,3700,+-0,Georgios Paraschos,https://www.transfermarkt.co.uk/ao-platanias/startseite/verein/21957
5219,aok-kerkyra,Aok Kerkyra,GR1,9.0,9,22.2,2,22.2,0,Ethniko Stadio Kerkyras,3000,+-0,Dimitrios Eleftheropoulos,https://www.transfermarkt.co.uk/aok-kerkyra/startseite/verein/5219
1506,kardemir-karabukspor,Kardemir Karabukspor,TR1,653.0,25,21.3,0,,0,Dr. Necmettin Şeyhoğlu,12400,+-0,Erkan Sözeri,https://www.transfermarkt.co.uk/kardemir-karabukspor/startseite/verein/1506
2944,ankaraspor,Ankaraspor,TR1,4.19,39,24.4,4,10.3,1,Osmanlı Stadı,19626,+-0,Bülent Uygun,https://www.transfermarkt.co.uk/ankaraspor/startseite/verein/2944
2760,partick-thistle-fc,Partick Thistle Fc,SC1,3.11,19,26.3,2,10.5,0,The Energy Check Stadium at Firhill,10102,+-0,Alan Archibald,https://www.transfermarkt.co.uk/partick-thistle-fc/startseite/verein/2760
22110,fc-helsingor,Fc Helsingor,DK1,3.56,22,26.2,5,22.7,2,Helsingør Ny Stadion,4000,+-0,Christian Lönstrup,https://www.transfermarkt.co.uk/fc-helsingor/startseite/verein/22110
42,hannover-96,Hannover 96,L1,18.81,29,25.4,10,34.5,6,HDI-Arena,49000,£-45Th.,André Breitenreiter,https://www.transfermarkt.co.uk/hannover-96/startseite/verein/42
1162,sm-caen,Sm Caen,FR1,17.96,32,23.8,11,34.4,3,Stade Michel-d'Ornano,20500,+-0,Fabien Mercadal,https://www.transfermarkt.co.uk/sm-caen/startseite/verein/1162
855,ea-guingamp,Ea Guingamp,FR1,15.98,28,24.2,9,32.1,4,Stade du Roudourou,18120,£-45Th.,Antoine Kombouaré,https://www.transfermarkt.co.uk/ea-guingamp/startseite/verein/855
603,cardiff-city,Cardiff City,GB1,36.77,25,26.2,21,84.0,7,Cardiff City Stadium,33280,+£900Th.,Neil Warnock,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
1110,huddersfield-town,Huddersfield Town,GB1,30.69,28,25.4,8,28.6,2,John Smith's Stadium,24500,+-0,David Wagner,https://www.transfermarkt.co.uk/huddersfield-town/startseite/verein/1110
3349,cd-feirense,Cd Feirense,PO1,5.33,27,25.3,14,51.9,2,Estádio Marcolino de Castro,5401,+£1.08m,Nuno Manta Santos,https://www.transfermarkt.co.uk/cd-feirense/startseite/verein/3349
3325,gd-chaves,Gd Chaves,PO1,3.17,24,27.5,12,50.0,2,Estádio Municipal Eng.º Manuel Branco Teixeira,9000,+-0,Daniel Ramos,https://www.transfermarkt.co.uk/gd-chaves/startseite/verein/3325
12321,fc-girona,Fc Girona,ES1,18.81,22,27.1,10,45.5,1,Municipal de Montilivi,11286,+£630Th.,Eusebio,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
642,de-graafschap-doetinchem,De Graafschap Doetinchem,NL1,5.11,20,24.4,0,,0,De Vijverberg,12600,+-0,Henk de Jong,https://www.transfermarkt.co.uk/de-graafschap-doetinchem/startseite/verein/642
798,sbv-excelsior-rotterdam,Sbv Excelsior Rotterdam,NL1,3.06,14,22.4,3,21.4,0,Van Donge & De Roo Stadion - Woudestein,4400,+-0,Adrie Poldervaart,https://www.transfermarkt.co.uk/sbv-excelsior-rotterdam/startseite/verein/798
132,nac-breda,Nac Breda,NL1,5.85,22,24.3,7,31.8,3,Rat Verlegh Stadion,19000,+-0,Jo Jansen,https://www.transfermarkt.co.uk/nac-breda/startseite/verein/132
498,ksc-lokeren,Ksc Lokeren,BE1,,0,0.0,0,,0,Daknamstadion,12000,+-0,Peter Maes,https://www.transfermarkt.co.uk/ksc-lokeren/startseite/verein/498
4,1-fc-nurnberg,1 Fc Nurnberg,L1,21.98,28,25.2,5,17.9,1,Max-Morlock-Stadion,50000,+-0,Michael Köllner,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
2700,anzhi-makhachkala,Anzhi Makhachkala,RU1,2.7,32,21.4,0,,0,RDYuSSh MinObrNauki RD Politekh Makhachkala,0,+-0,Magomed Adiev,https://www.transfermarkt.co.uk/anzhi-makhachkala/startseite/verein/2700
3714,enisey-krasnoyarsk,Enisey Krasnoyarsk,RU1,6.66,29,26.4,1,3.4,1,Zentralstadion Krasnoyarsk,15000,+£900,Dmitri Alenichev,https://www.transfermarkt.co.uk/enisey-krasnoyarsk/startseite/verein/3714
2672,apo-levadiakos,Apo Levadiakos,GR1,4.05,23,25.3,11,47.8,1,Stadio Livadias,5915,+-0,Apostolos Mantzios,https://www.transfermarkt.co.uk/apo-levadiakos/startseite/verein/2672
8970,frosinone-calcio,Frosinone Calcio,IT1,10.24,26,26.3,7,26.9,2,Benito Stirpe,16227,+-0,Moreno Longo,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
862,chievo-verona,Chievo Verona,IT1,14.06,32,24.7,15,46.9,3,Marcantonio Bentegodi,31045,+£90Th.,Lorenzo D'Anna,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
9007,arsenal-kiew,Arsenal Kiew,UKR1,,0,0.0,0,,0,NSK Olimpisky,70050,+-0,Fabrizio Ravanelli,https://www.transfermarkt.co.uk/arsenal-kiew/startseite/verein/9007
19771,akhisarspor,Akhisarspor,TR1,1.62,32,23.6,8,25.0,0,Spor Toto Akhisar Stadyumu,12139,+-0,Safet Susic,https://www.transfermarkt.co.uk/akhisarspor/startseite/verein/19771
20,bursaspor,Bursaspor,TR1,8.87,28,21.8,1,3.6,0,Bursa Büyükşehir Belediye Stadyumu,43331,+-0,Samet Aybaba,https://www.transfermarkt.co.uk/bursaspor/startseite/verein/20
19657,vendsyssel-ff,Vendsyssel Ff,DK1,2.61,17,25.4,6,35.3,1,Nord Energi Arena,10000,+-0,Jens Berthel Askou,https://www.transfermarkt.co.uk/vendsyssel-ff/startseite/verein/19657
38,fortuna-dusseldorf,Fortuna Dusseldorf,L1,24.14,27,25.7,8,29.6,2,MERKUR SPIEL-ARENA,54600,£-1.10m,Friedhelm Funkel,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
1416,amiens-sc,Amiens Sc,FR1,18.09,29,24.1,17,58.6,9,Stade de la Licorne,12999,+£5.40m,Luka Elsner,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
415,fc-toulouse,Fc Toulouse,FR1,30.11,25,23.5,12,48.0,3,Stadium Municipal,33150,+£2.07m,Alain Casanova,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
3336,desportivo-aves,Desportivo Aves,PO1,180.0,1,26.5,1,100.0,0,Estádio CD das Aves,5441,+-0,Augusto Inácio,https://www.transfermarkt.co.uk/desportivo-aves/startseite/verein/3336
1085,vitoria-setubal-fc,Vitoria Setubal Fc,PO1,3.2,31,24.0,6,19.4,3,Estádio do Bonfim,18642,+-0,Sandro Mendes,https://www.transfermarkt.co.uk/vitoria-setubal-fc/startseite/verein/1085
989,afc-bournemouth,Afc Bournemouth,GB1,108.54,22,24.8,11,50.0,6,Vitality Stadium,11329,+-0,Eddie Howe,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
1244,cd-leganes,Cd Leganes,ES1,22.73,22,26.7,7,31.8,2,Municipal de Butarque,12454,+-0,Mauricio Pellegrino,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
127,sc-paderborn-07,Sc Paderborn 07,L1,13.75,31,24.8,5,16.1,1,Benteler-Arena,15000,+£2.07m,Steffen Baumgart,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
14589,fk-orenburg,Fk Orenburg,RU1,7.72,24,25.7,5,20.8,1,Gazovik,7500,+£176Th.,Vladimir Fedotov,https://www.transfermarkt.co.uk/fk-orenburg/startseite/verein/14589
2477,karpaty-lviv,Karpaty Lviv,UKR1,,0,0.0,0,,0,Stadion Ukraina,28051,+-0,Oleksandr Chyzhevskyi,https://www.transfermarkt.co.uk/karpaty-lviv/startseite/verein/2477
5818,hobro-ik,Hobro Ik,DK1,3.78,26,24.1,4,15.4,1,DS Arena,7500,+£241Th.,Peter Sörensen,https://www.transfermarkt.co.uk/hobro-ik/startseite/verein/5818
3426,esbjerg-fb,Esbjerg Fb,DK1,4.66,28,22.4,10,35.7,3,Blue Water Arena,16942,+-0,John Lammers,https://www.transfermarkt.co.uk/esbjerg-fb/startseite/verein/3426
169,panionios-athen,Panionios Athen,GR1,585.0,27,21.5,3,11.1,0,Stadio Neas Smyrnis,11700,+-0,Apostolos Mantzios,https://www.transfermarkt.co.uk/panionios-athen/startseite/verein/169
128,ao-xanthi,Ao Xanthi,GR1,5.81,37,25.9,5,13.5,0,Xanthi Arena,7361,+-0,Kiko Ramírez,https://www.transfermarkt.co.uk/ao-xanthi/startseite/verein/128
1005,us-lecce,Us Lecce,IT1,21.38,29,25.8,14,48.3,2,Ettore Giardiniero,31559,£-675Th.,Fabio Liverani,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
19,brescia-calcio,Brescia Calcio,IT1,30.24,27,24.5,15,55.6,4,Mario Rigamonti,19550,+£11.61m,Eugenio Corini,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
2722,spal,Spal,IT1,17.84,23,23.4,8,34.8,1,Paolo Mazza,16134,+£5.85m,Leonardo Semplici,https://www.transfermarkt.co.uk/spal/startseite/verein/2722
86,sv-werder-bremen,Sv Werder Bremen,L1,73.24,33,24.4,13,39.4,7,Wohninvest-Weserstadion,42100,+£9.72m,Florian Kohfeldt,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
984,west-bromwich-albion,West Bromwich Albion,GB1,80.78,20,27.4,9,45.0,5,The Hawthorns,26850,+£972Th.,Slaven Bilic,https://www.transfermarkt.co.uk/west-bromwich-albion/startseite/verein/984
350,sheffield-united,Sheffield United,GB1,113.04,27,26.6,13,48.1,8,Bramall Lane,32702,+-0,Chris Wilder,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
1160,nimes-olympique,Nimes Olympique,FR1,35.15,23,24.4,11,47.8,8,Stade des Costières,18364,+£5.67m,Jérôme Arpinon,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
982,cd-nacional,Cd Nacional,PO1,8.26,30,27.2,16,53.3,3,Estádio da Madeira,5586,+£540Th.,Luís Freire,https://www.transfermarkt.co.uk/cd-nacional/startseite/verein/982
41201,pfk-tambov,Pfk Tambov,RU1,,0,0.0,0,,0,Mordovia Arena,44149,+-0,Sergey Pervushin,https://www.transfermarkt.co.uk/pfk-tambov/startseite/verein/41201
3609,rotor-volgograd,Rotor Volgograd,RU1,8.96,25,25.2,3,12.0,1,Volgograd Arena,45568,£-54Th.,Aleksandr Khatskevich,https://www.transfermarkt.co.uk/rotor-volgograd/startseite/verein/3609
2969,dijon-fco,Dijon Fco,FR1,41.31,31,25.4,16,51.6,6,Stade Gaston-Gérard,16098,+-0,Stéphane Jobard,https://www.transfermarkt.co.uk/dijon-fco/startseite/verein/2969
4294,sc-farense,Sc Farense,PO1,11.27,26,25.4,16,61.5,3,Estádio São Luís,15000,+-0,Sérgio Vieira,https://www.transfermarkt.co.uk/sc-farense/startseite/verein/4294
2425,rio-ave-fc,Rio Ave Fc,PO1,13.61,29,27.4,15,51.7,3,Estádio dos Arcos,9065,+£1.08m,Carlos Carvalhal,https://www.transfermarkt.co.uk/rio-ave-fc/startseite/verein/2425
5358,sd-huesca,Sd Huesca,ES1,27.0,20,27.4,5,25.0,1,El Alcoraz,7800,+-0,Míchel,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
366,real-valladolid,Real Valladolid,ES1,52.25,35,27.6,9,25.7,4,Estadio Nuevo José Zorrilla,27618,£-1.80m,Sergio,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
1533,sd-eibar,Sd Eibar,ES1,19.26,20,28.4,4,20.0,0,Ipurua,8164,£-990Th.,José Luis Mendilibar,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
931,fc-fulham,Fc Fulham,GB1,148.55,28,27.5,21,75.0,13,Craven Cottage,19000,£-11.97m,Scott Parker,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
28643,waasland-beveren,Waasland Beveren,BE1,9.2,25,24.7,12,48.0,1,Freethielstadion,13290,+£900Th.,Nicky Hayen,https://www.transfermarkt.co.uk/waasland-beveren/startseite/verein/28643
29228,royal-excel-mouscron,Royal Excel Mouscron,BE1,4.39,21,26.1,14,66.7,3,Le Canonnier,10830,+-0,Fernando Da Cruz,https://www.transfermarkt.co.uk/royal-excel-mouscron/startseite/verein/29228
1426,vvv-venlo,Vvv Venlo,NL1,6.35,20,24.1,6,30.0,1,Covebo Stadion - De Koel,8000,+-0,Hans de Koning,https://www.transfermarkt.co.uk/vvv-venlo/startseite/verein/1426
1283,fc-emmen,Fc Emmen,NL1,7.16,23,23.9,6,26.1,3,De Oude Meerdijk,8309,+£180Th.,Dick Lukkien,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
1268,ado-den-haag,Ado Den Haag,NL1,3.92,16,25.7,2,12.5,0,Cars Jeans Stadion,15000,+£540Th.,Aleksandar Rankovic,https://www.transfermarkt.co.uk/ado-den-haag/startseite/verein/1268
33,fc-schalke-04,Fc Schalke 04,L1,73.69,31,25.3,17,54.8,8,Veltins-Arena,62271,+£27.86m,David Wagner,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
23611,olimpik-donetsk,Olimpik Donetsk,UKR1,428.0,20,27.1,0,,0,NTK Bannikova,1678,+-0,Igor Klymovskyi,https://www.transfermarkt.co.uk/olimpik-donetsk/startseite/verein/23611
2999,hamilton-academical-fc,Hamilton Academical Fc,SC1,5.4,28,23.1,4,14.3,1,Fountain of Youth Stadium,6018,+-0,Brian Rice,https://www.transfermarkt.co.uk/hamilton-academical-fc/startseite/verein/2999
868,mke-ankaragucu,Mke Ankaragucu,TR1,10.91,40,25.6,12,30.0,2,Eryaman Stadyumu,20560,+-0,Fuat Capa,https://www.transfermarkt.co.uk/mke-ankaragucu/startseite/verein/868
820,genclerbirligi-ankara,Genclerbirligi Ankara,TR1,6.44,30,24.5,6,20.0,0,Eryaman Stadyumu,20560,+-0,Mert Nobre,https://www.transfermarkt.co.uk/genclerbirligi-ankara/startseite/verein/820
39722,buyuksehir-belediye-erzurumspor,Buyuksehir Belediye Erzurumspor,TR1,4.01,18,27.7,5,27.8,2,Erzurum Kazım Karabekir,23700,+-0,Mehmet Özdilek,https://www.transfermarkt.co.uk/buyuksehir-belediye-erzurumspor/startseite/verein/39722
833,denizlispor,Denizlispor,TR1,2.0,14,22.2,1,7.1,0,Denizli Atatürk Stadı,18745,+-0,Robert Prosinecki,https://www.transfermarkt.co.uk/denizlispor/startseite/verein/833
4083,fc-crotone,Fc Crotone,IT1,25.58,26,24.7,12,46.2,5,Ezio Scida,16640,£-1.13m,Giovanni Stroppa,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
4171,benevento-calcio,Benevento Calcio,IT1,23.78,32,25.7,12,37.5,5,Ciro Vigorito,16867,+£720Th.,Filippo Inzaghi,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171
4603,ae-larisa,Ae Larisa,GR1,6.26,35,24.4,8,22.9,2,Stadio Alkazar,13108,+£95Th.,Michalis Grigoriou,https://www.transfermarkt.co.uk/ae-larisa/startseite/verein/4603
130,parma-calcio-1913,Parma Calcio 1913,IT1,92.3,39,26.1,24,61.5,7,Ennio Tardini,22352,£-24.39m,Roberto D'Aversa,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
2553,kilmarnock-fc,Kilmarnock Fc,SC1,4.88,22,26.8,8,36.4,0,"BBSP Stadium, Rugby Park",18128,+-0,Alex Dyer,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
369,lyngby-bk,Lyngby Bk,DK1,5.06,26,24.4,3,11.5,1,Lyngby Stadion,10000,+£1.08m,Christian Nielsen,https://www.transfermarkt.co.uk/lyngby-bk/startseite/verein/369
2414,ac-horsens,Ac Horsens,DK1,4.55,21,24.8,4,19.0,1,Casa Arena Horsens,10400,+-0,Bo Henriksen,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414
