Countries,2020
Aruba,
Africa Eastern and Southern,9.01E+11
Afghanistan,19807067268
Africa Western and Central,7.87E+11
Angola,62306913444
Albania,14799615097
Andorra,
Arab World,2.47E+12
United Arab Emirates,
Argentina,3.83E+11
Armenia,12645459214
American Samoa,
Antigua and Barbuda,1415059259
Australia,1.33E+12
Austria,4.31E+11
Azerbaijan,42607176471
Burundi,3258187233
Belgium,5.15E+11
Benin,15651545209
Burkina Faso,17369059295
Bangladesh,3.24E+11
Bulgaria,69105101090
Bahrain,
"Bahamas, The",11250000000
Bosnia and Herzegovina,19788422248
Belarus,60258239056
Belize,1763696119
Bermuda,
Bolivia,36688861203
Brazil,1.44E+12
Barbados,4365500000
Brunei Darussalam,12016056665
Bhutan,2409262838
Botswana,15781732826
Central African Republic,2303078338
Canada,1.64E+12
Central Europe and the Baltics,1.65E+12
Switzerland,7.52E+11
Channel Islands,
Chile,2.53E+11
China,1.47E+13
Cote d'Ivoire,61348579465
Cameroon,39802147568
"Congo, Dem. Rep.",49868970641
"Congo, Rep.",10884686143
Colombia,2.71E+11
Comoros,1219690025
Cabo Verde,1703698677
Costa Rica,61520669890
Caribbean small states,68415253068
Cuba,
Curacao,
Cayman Islands,
Cyprus,23804340377
Czech Republic,2.45E+11
Germany,3.85E+12
Djibouti,3384404260
Dominica,469870370.4
Denmark,3.56E+11
Dominican Republic,78844702329
Algeria,1.45E+11
East Asia & Pacific (excluding high income),1.74E+13
Early-demographic dividend,1.06E+13
East Asia & Pacific,2.70E+13
Europe & Central Asia (excluding high income),3.22E+12
Europe & Central Asia,2.21E+13
Ecuador,98808010000
"Egypt, Arab Rep.",3.63E+11
Euro area,1.30E+13
Eritrea,
Spain,1.28E+12
Estonia,30650285472
Ethiopia,1.08E+11
European Union,1.53E+13
Fragile and conflict affected situations,1.50E+12
Finland,2.70E+11
Fiji,4376014756
France,2.63E+12
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,15593181271
United Kingdom,2.71E+12
Georgia,15891688903
Ghana,72354428865
Gibraltar,
Guinea,15681050917
"Gambia, The",1901930158
Guinea-Bissau,1431758243
Equatorial Guinea,10021856754
Greece,1.89E+11
Grenada,1089203704
Greenland,
Guatemala,77604632171
Guam,
Guyana,5471256595
High income,5.34E+13
"Hong Kong SAR, China",3.47E+11
Honduras,23827840810
Heavily indebted poor countries (HIPC),8.04E+11
Croatia,55966581780
Haiti,13417997065
Hungary,1.55E+11
IBRD only,2.98E+13
IDA & IBRD total,3.20E+13
IDA total,2.23E+12
IDA blend,9.56E+11
Indonesia,1.06E+12
IDA only,1.28E+12
Isle of Man,
India,2.62E+12
Not classified,
Ireland,4.26E+11
"Iran, Islamic Rep.",1.92E+11
Iraq,1.67E+11
Iceland,21718075725
Israel,4.02E+11
Italy,1.89E+12
Jamaica,13812421803
Jordan,43697659275
Japan,4.98E+12
Kazakhstan,1.70E+11
Kenya,98842939649
Kyrgyz Republic,7735976613
Cambodia,25291251427
Kiribati,199573326
St. Kitts and Nevis,927451851.9
"Korea, Rep.",1.63E+12
Kuwait,
Latin America & Caribbean (excluding high income),4.01E+12
Lao PDR,19136194849
Lebanon,33383246858
Liberia,2950000000
Libya,25418461532
St. Lucia,1703364241
Latin America & Caribbean,4.70E+12
Least developed countries: UN classification,1.13E+12
Low income,4.58E+11
Liechtenstein,
Sri Lanka,80706600229
Lower middle income,7.33E+12
Low & middle income,3.09E+13
Lesotho,1844510138
Late-demographic dividend,2.25E+13
Lithuania,55887271833
Luxembourg,73263982103
Latvia,33505185229
"Macao SAR, China",
St. Martin (French part),
Morocco,1.13E+11
Monaco,
Moldova,11914040905
Madagascar,13720634105
Maldives,4030203167
Middle East & North Africa,3.04E+12
Mexico,1.08E+12
Marshall Islands,
Middle income,3.04E+13
North Macedonia,12266949805
Mali,17393761397
Malta,14647384608
Myanmar,76185586097
Middle East & North Africa (excluding high income),1.17E+12
Montenegro,4778582336
Mongolia,13137128659
Northern Mariana Islands,
Mozambique,14021421106
Mauritania,7778525643
Mauritius,10914065306
Malawi,11961848553
Malaysia,3.37E+11
North America,2.26E+13
Namibia,10699926683
New Caledonia,
Niger,13678234008
Nigeria,4.32E+11
Nicaragua,12621476264
Netherlands,9.14E+11
Norway,3.63E+11
Nepal,33657175561
Nauru,
New Zealand,2.11E+11
OECD members,5.22E+13
Oman,
Other small states,3.77E+11
Pakistan,2.64E+11
Panama,52938100000
Peru,2.02E+11
Philippines,3.61E+11
Palau,
Papua New Guinea,23591523025
Poland,5.94E+11
Pre-demographic dividend,1.30E+12
Puerto Rico,1.03E+11
"Korea, Dem. People's Rep.",
Portugal,2.31E+11
Paraguay,35304238230
West Bank and Gaza,15561300000
Pacific island small states,9170736596
Post-demographic dividend,4.94E+13
French Polynesia,
Qatar,1.46E+11
Romania,2.49E+11
Russian Federation,1.48E+12
Rwanda,10333991892
South Asia,3.35E+12
Saudi Arabia,7.00E+11
Sudan,26110829190
Senegal,24910904236
Singapore,3.40E+11
Solomon Islands,1551245526
Sierra Leone,3865018883
El Salvador,24638720000
San Marino,
Somalia,4917607582
Serbia,52960134079
Sub-Saharan Africa (excluding high income),1.69E+12
South Sudan,
Sub-Saharan Africa,1.69E+12
Small states,4.55E+11
Sao Tome and Principe,472914469.9
Suriname,3807922874
Slovak Republic,1.05E+11
Slovenia,53589609581
Sweden,5.41E+11
Eswatini,3962493093
Sint Maarten (Dutch part),
Seychelles,1124937500
Syrian Arab Republic,
Turks and Caicos Islands,924583000
Chad,10093118570
East Asia & Pacific (IDA & IBRD countries),1.74E+13
Europe & Central Asia (IDA & IBRD countries),3.87E+12
Togo,7574635241
Thailand,5.02E+11
Tajikistan,8194150302
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),4.47E+12
Timor-Leste,1821000000
Middle East & North Africa (IDA & IBRD countries),1.15E+12
Tonga,
South Asia (IDA & IBRD),3.35E+12
Sub-Saharan Africa (IDA & IBRD countries),1.69E+12
Trinidad and Tobago,21529824769
Tunisia,39235672868
Turkey,7.20E+11
Tuvalu,48855550.2
Tanzania,62409748427
Uganda,37372032558
Ukraine,1.56E+11
Upper middle income,2.31E+13
Uruguay,53628827440
United States,2.09E+13
Uzbekistan,57707189945
St. Vincent and the Grenadines,809681481.5
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2.71E+11
Vanuatu,854793640.1
World,8.46E+13
Samoa,807027244.4
Kosovo,7611402165
"Yemen, Rep.",
South Africa,3.02E+11
Zambia,19320053859
Zimbabwe,16768513443